MSFT (Microsoft Corporation),110.19,0
Nov 30 2018 @ 06:48 ET,Bid,110.29,Ask,109.87,Size,2x1,Vol,28123195
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
11/30/2018,MSFT181130C00070000,0,0,38.3,42.85,0,5.1797,0.9631,0.0027,0,70.000,MSFT181130P00070000,0,0,0,2.91,0,3.0928,-0.0022,0.0004,0
11/30/2018,MSFT181130C00070500,0,0,37.55,42.15,0,5.2128,0.9602,0.0028,0,70.500,MSFT181130P00070500,0,0,0,2.91,0,2.9697,-0.0018,0.0003,0
11/30/2018,MSFT181130C00071000,0,0,37.05,41.65,0,5.0425,0.9621,0.0028,0,71.000,MSFT181130P00071000,0,0,0,4.8,0,2.9591,-0.002,0.0004,0
11/30/2018,MSFT181130C00071500,0,0,36.55,41.15,0,5.1224,0.9579,0.003,0,71.500,MSFT181130P00071500,0,0,0,4.75,0,2.837,-0.0016,0.0003,0
11/30/2018,MSFT181130C00072000,0,0,36.1,40.85,0,5.0062,0.9586,0.003,0,72.000,MSFT181130P00072000,0,0,0,2.13,0,2.8294,-0.0018,0.0003,0
11/30/2018,MSFT181130C00072500,0,0,35.6,40.35,0,4.9381,0.958,0.0031,0,72.500,MSFT181130P00072500,0,0,0,4.8,0,2.8224,-0.0021,0.0004,0
11/30/2018,MSFT181130C00073000,0,0,35.3,39.8,0,4.9166,0.9562,0.0032,0,73.000,MSFT181130P00073000,0,0,0,0.08,0,2.751,-0.0019,0.0004,0
11/30/2018,MSFT181130C00073500,32.9,0,34.7,39.3,0,4.9931,0.9514,0.0034,11,73.500,MSFT181130P00073500,0,0,0,2.13,0,2.6915,-0.0018,0.0004,0
11/30/2018,MSFT181130C00074000,36.85,0,36.05,36.45,0,4.7916,0.9546,0.0034,12,74.000,MSFT181130P00074000,0,0,0,2.13,0,2.6858,-0.0021,0.0004,0
11/30/2018,MSFT181130C00074500,31.9,0,33.65,38.25,0,5.0148,0.9454,0.0038,10,74.500,MSFT181130P00074500,0,0,0,2.13,0,2.6334,-0.002,0.0004,0
11/30/2018,MSFT181130C00075000,0,0,33.3,37.85,0,4.647,0.9539,0.0036,0,75.000,MSFT181130P00075000,0,0,0,0.15,0,2.5845,-0.002,0.0004,575
11/30/2018,MSFT181130C00075500,0,0,32.8,37.35,0,4.5364,0.9546,0.0036,0,75.500,MSFT181130P00075500,0,0,0,0.15,0,2.501,-0.0018,0.0004,150
11/30/2018,MSFT181130C00076000,0,0,32.1,36.85,0,4.4261,0.9554,0.0036,0,76.000,MSFT181130P00076000,0,0,0,0.24,0,2.501,-0.0021,0.0004,330
11/30/2018,MSFT181130C00076500,0,0,31.8,36.3,0,4.4488,0.9519,0.0038,0,76.500,MSFT181130P00076500,0,0,0,2.13,0,2.4204,-0.0018,0.0004,0
11/30/2018,MSFT181130C00077000,0,0,31.05,35.75,0,4.296,0.9541,0.0038,0,77.000,MSFT181130P00077000,0,0,0,0.15,0,2.376,-0.0018,0.0004,25
11/30/2018,MSFT181130C00077500,0,0,30.9,34.95,0,4.4502,0.9459,0.0042,0,77.500,MSFT181130P00077500,0,0,0,4.25,0,2.3784,-0.0022,0.0005,0
11/30/2018,MSFT181130C00078000,0,0,30.4,34.45,0,4.3441,0.9465,0.0043,0,78.000,MSFT181130P00078000,0,0,0,0.13,0,2.327,-0.0021,0.0005,676
11/30/2018,MSFT181130C00078500,0,0,29.9,34,0,4.2434,0.947,0.0043,0,78.500,MSFT181130P00078500,0,0,0,1.86,0,2.3174,-0.0024,0.0006,0
11/30/2018,MSFT181130C00079000,0,0,29.35,33.35,0,4.3246,0.941,0.0046,0,79.000,MSFT181130P00079000,0,0,0,3.3,0,2.2524,-0.0023,0.0005,0
11/30/2018,MSFT181130C00079500,0,0,29,32.9,0,4.1119,0.9456,0.0046,0,79.500,MSFT181130P00079500,0,0,0,0.18,0,2.1804,-0.002,0.0005,21
11/30/2018,MSFT181130C00080000,30.65,-0.325,30.1,30.4,148,4.006,0.9463,0.0046,92,80.000,MSFT181130P00080000,0,0,0,0.1,0,2.2265,-0.0028,0.0007,151
11/30/2018,MSFT181130C00080500,0,0,27.95,31.85,0,3.602,0.9587,0.0042,0,80.500,MSFT181130P00080500,0,0,0,0.24,0,2.1598,-0.0026,0.0006,800
11/30/2018,MSFT181130C00081000,0,0,27.55,31.3,0,3.6791,0.9527,0.0046,0,81.000,MSFT181130P00081000,0,0,0,0.15,0,2.1279,-0.0027,0.0007,38
11/30/2018,MSFT181130C00081500,0,0,27.05,30.8,0,3.7812,0.9454,0.005,0,81.500,MSFT181130P00081500,0.01,0,0,0.15,0,2.0312,-0.0022,0.0006,236
11/30/2018,MSFT181130C00082000,0,0,26.4,30.3,0,3.6694,0.9469,0.005,0,82.000,MSFT181130P00082000,0.02,0,0,0.01,0,1.876,-0.0013,0.0004,504
11/30/2018,MSFT181130C00082500,0,0,25.9,30,0,3.6923,0.9421,0.0054,1,82.500,MSFT181130P00082500,0.02,0,0,0.24,0,2.001,-0.0028,0.0007,150
11/30/2018,MSFT181130C00083000,0,0,25.5,29.4,0,3.5945,0.9428,0.0054,0,83.000,MSFT181130P00083000,0,0,0,0.03,0,2.001,-0.0032,0.0008,23
